


 
Utah Tech,29,12,17,.414,8,4,3,13,2186,2141
Utah Valley,29,22,7,.759,11,1,10,5,2188,1969
UTEP,29,13,16,.448,10,6,3,10,1980,1981
UTSA,30,9,21,.300,7,10,2,11,2068,2305
Valparaiso,31,11,20,.355,8,7,2,12,2156,2277
Vanderbilt,29,16,13,.552,11,5,4,6,2088,2085
Vermont,29,19,10,.655,9,1,9,6,2096,1964
Villanova,29,15,14,.517,10,3,4,8,2020,1961
Virginia,27,21,6,.778,13,1,6,5,1838,1637
Virginia Commonwealth,29,22,7,.759,14,3,7,3,2047,1817
VMI,31,7,24,.226,6,8,1,14,2148,2365
Virginia Tech,29,16,13,.552,12,4,1,9,2152,2027
Wagner,27,15,12,.556,8,4,7,8,1711,1660
Wake Forest,29,18,11,.621,13,2,4,7,2247,2144
Washington,30,16,14,.533,12,5,2,9,2061,2083
Washington State,30,15,15,.500,10,3,4,8,2018,1943
Weber State,30,16,14,.533,8,4,7,8,2001,2016
West Virginia,29,16,13,.552,12,4,2,8,2218,2054
Western Carolina,31,17,14,.548,9,5,6,9,2308,2200
Western Illinois,29,16,13,.552,11,4,5,9,2131,2104
Western Kentucky,29,15,14,.517,9,5,4,8,2125,2053
Western Michigan,29,7,22,.241,6,6,1,15,2023,2153
Wichita State,28,15,13,.536,7,8,7,3,1980,1914
William & Mary,31,12,19,.387,11,5,1,14,2100,2175
Winthrop,31,15,16,.484,10,4,4,11,2291,2304
Wisconsin,28,16,12,.571,9,5,4,6,1824,1783
Wofford,31,16,15,.516,12,4,4,11,2337,2252
Wright State,31,17,14,.548,8,6,7,7,2490,2288
Wyoming,28,8,20,.286,6,8,1,7,1938,2009
Xavier,29,21,8,.724,14,2,6,4,2374,2154
Yale,26,19,7,.731,10,1,7,6,1982,1617
Youngstown State,31,23,8,.742,13,2,9,6,2587,2255

